vi,ᎠᏗᎭ,ᎠᏗᎭ,a¹dị²ha,ạ²di³ha,he is saying,,
,ᎦᏗᎠ,ᎠᏗᎭ,gạ²di³ɂa,ạ²di³ɂa,I am saying,,
vi,ᎤᏛᏅᎢ,ᎠᏛᏅᎢ,u¹dv²hnv²³ɂi,ạ²dv²hnv²³ɂi,he said a while ago,,
vi,ᎠᏗᏍᎪᎢ,ᎠᏗᏍᎪᎢ,a¹di²³sgo³ɂi,ạ²di²³sgo³ɂi,he is often saying,,
,ᎭᏓ,ᎠᏓ,hạ²da,ạ²da,let you say,,
,ᎭᏓ²,ᎠᏓ,hạ²da²,ạ²da²,you said recently,,
vi,ᎤᏘᏗ,ᎠᏘᏗ,ut²di,ạt²di,for him to say it,,
vti,ᎠᎩᎠ,ᎩᎠ,a¹gị³ɂa,gị³ɂa,he is eating x,,"a solid food, solid foods"
,ᏥᎩᎠ,ᎩᎠ,jị²gị³ɂa,gị³ɂa,I am eating x,,"a solid food, solid foods"
vti,ᎤᎬᎢ,ᎬᎢ,u¹gv²³ɂi,gv²³ɂi,he ate x a while ago,,"a solid food, solid foods"
vti,ᎠᎩᏍᎪᎢ,ᎩᏍᎪᎢ,a¹gi³sgo³ɂi,gi³sgo³ɂi,he often is eating x,,"a solid food, solid foods"
,ᎯᎦ,Ꭶ,hị²ga,ga,let you eat x,,"a solid food, solid foods"
,ᎯᎦ,Ꭶ,hị²ga²,ga²,you ate x recently,,"a solid food, solid foods"
vti,ᎤᎩᏍᏗ,ᎩᏍᏗ,u²gi¹sdi,gi¹sdi,for him to eat x,,"a solid food, solid foods"
"vti, vta",ᎠᎪᏩᏘᎭ,ᎪᏩᏘᎭ,a¹gowh²tị³ha,gowh²tị³ha,he is seeing x,He is being seen,
,ᏥᎪᏩᏘᎭ,ᎪᏩᏘᎭ,ji²gowh¹tị³ha,gowh¹tị³ha,I am seeing x,I am being seen,
"vti, vta",ᎤᎪᎲᎢ,ᎪᎲᎢ,u¹go²hv²³ɂi,go²hv²³ɂi,he saw x a while ago,He was seen a while ago,
"vti, vta",ᎠᎪᏩᏘᏍᎪᎢ,ᎪᏩᏘᏍᎪᎢ,a¹gowh²ti²³sgọ³ɂi,gowh²ti²³sgọ³ɂi,he is often seeing x,He is often seen,
,ᎯᎪᏩᏔ,ᎪᏩᏔ,hi²go¹wah²ta,go¹wah²ta,let you see x,Let you be seen,
,ᎯᎪᏩᏔ,ᎪᏩᏔ,hi²go¹wah²ta²,go¹wah²ta²,you saw x recently,You were seen recently,
"vti, vta",ᎤᎪᏩᏛᏗ,ᎪᏩᏛᏗ,u²gowh²tvh³di,gowh²tvh³di,for him to see x,For him to be seen,
"vti, vta",ᎤᏚᎵᎭ,ᎠᏚᎵᎭ,u¹du²lị³ha,ạ²du²lị³ha,He is wanting x,He is wanted,
,ᎠᏆᏚᎵᎭ,ᎠᏚᎵᎭ,a¹gwạ²du²lị³ha,ạ²du²lị³ha,I am wanting x,I am wanted,
"vti, vta",ᎤᏚᎸᎲᎢ,ᎠᏚᎸᎲᎢ,u¹du²lv²hv²³ɂi,ạ²du²lv²hv²³ɂi,He wanted x a while ago,He was wanted a while ago,
"vti, vta",ᎤᏚᎵᏍᎪᎢ,ᎠᏚᎵᏍᎪᎢ,u¹du²li²³sgọ³ɂi,ạ²du²li²³sgọ³ɂi,He often is wanting x,He is often wanted,
